Chenopodium_album;Puccinellia_distans;Lepidium_ruderale;Agrostis_gigantea;Bryum_species;Agrostis_scabra;Equisetum_arvense;Anaphalis_margaritacea;Aster_glehnii;Petasites_amplus;Salix_caprea;Rubus_sachalinensis;Senecio_cannabifolius;Picris_japonica;Phleum_pratense;Epilobium_maximowiczii;Sonchus_arvensis;Aster_novi-belgii;Artemisia_montana;Phragmites_australis;Taraxacum_officinale;Tussilago_farfara;Phalacroloma_strigosum;Hordeum_jubatum;Cirsium_vulgare;Plantago_asiatica;Salix_udensis;Poa_palustris;Reynoutria_sachalinensis;Solidago_decurrens;Betula_platyphylla;Abies_sachalinensis;Betula_ermanii;Rumex_pseudonatronatus;Ceratodon_purpureus;Rumex_aquaticus;Beckmannia_syzigachne;Atriplex_patens;Cirsium_kamtschaticum;Tripleurospermum_perforatum;Festuca_arundinacea;Platanthera_camtschatica;Symphyotrichum_ciliatum;Amoria_repens;Conyza_canadensis;Typha_angustifolia;Calamagrostis_langsdorffii;Geum_macrophyllum;Hieracium_aurantiacum;Sambucus_racemosa;Conocephalum_conicum;Dactylorhiza_aristata;Stellaria_fenzlii;Poa_pratensis;Plagiomnium_species;Juncus_species;Epipactis_papillosa;Cerastium_purpurascens;Botrychium_robustum;Poa_angustifolia;Trifolium_pratense;Salix_schwerinii;Agrimonia_viscidula;Cerastium_holosteoides;Dactylis_glomerata;Platanthera_sachalinensis;Spiranthes_sinensis;Pellia_species
10;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0.3;3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;10;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0.3;0.1;0;0.5;7;1;0.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;7;0;0;3;1;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;10;0.1;10;0.1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;10;0.5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;1;0.5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;5;1;0;10;0.5;0;0;0;0;0;0;0;0;0;0;1;0.1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;1;0.5;1;30;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0.5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;0;0.5;0;17;0;0;0;0;0;0;0;0;0;0;0;1;0.1;0;1;0;10;1;0;0.5;0;0;0;0;0;0;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;10;0;0.5;70;0;0;0;0;0;0;0;0;0;0;0;1;0.5;0.5;2;2;10;0;0.5;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;10;0;1;35;0;0;0;0;0;0;0;0;0;0;0;3;0;0.5;0;0;20;0;0;0.5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;1;0;0.3;0.5;0.3;5;0;0;0;0;0;0;0;0;0;0;0;0;20;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.1;0.5;0;15;5;0;0.5;0;0;0;0;0;0;0;0;0;0;0.5;1;10;0.5;10;0;0;0.5;0.5;0;0;0;0;0;0.1;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.5;0.5;10;5;0;0;0;0;0;0;0;0;0;0.5;0;0.5;0;0;40;0.5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7;5;0;0;0;0.1;0;0;0;0;0;0;0;2;0.5;0.1;85;0.5;5;0;0;0;0;1;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;10;0;30;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.3;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;10;1;10;0;0;0.3;3;0;0.3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;10;5;0;0;0;0;0;0;0;0;0;0;0;1;7;0.5;40;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.3;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0.3;7;0;50;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;80;3;5;0;0;0.5;0;0;0;0.3;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;70;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0.5;85;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;3;0;0;0;0;0;0;0;0;0;0;0.3;0;0;3;5;60;0.5;10;0;0;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0.3;2;10;0;2;0.3;0.5;0;0;0;0;0;0;0;0;0;0;0.1;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.5;0.1;10;0;0;1;0;0;0;0.3;0;0;0;0;0;2;3;0.5;3;0.5;5;0;2;1;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0.5;2;0;5;0.5;30;0;0.3;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0.5;3;0;3;0.5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;1;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.3;0.5;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;7;3;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0.1;1;1;0;0;0;0;0;0;0;0;0;0;0;3;10;0;7;0.5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.5;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0.5;10;0;90;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;2;1;0;0;0;0.5;0;0;0;0;0;0;0;0.5;7;0;55;0.5;5;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;5;1;0;0;0;0;0.5;0;0;0;0;0;0;2;10;0;70;0.5;5;0;1;0;0.1;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;5;0;0;3;0;1;0;0;1;0;1;1;10;0;70;0.5;3;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;2;1;1;7;5;0;0;0;0;0;0;0;0;15;15;0.3;50;0;0;0;0;0;0;7;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;1;0;0.5;15;0;0;0;0;0;0;0;1;2;10;0.5;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0.5;1;0;0;2;0;0;1;0;0.5;0;0;2;1;45;0.5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0
0;0;0;0;0;2;0;0;0;0;0;0;10;0.5;0;0;0;0;5;50;0.5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0.3;0;0;0;0;0;0;0;0.3;0;0;25;60;2;2;0;0;0;0;0;0;7;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;3;15;15;1;0;0;1;0.5;0;0;0.5;0.5;3;10;50;0.5;5;0;0;0.5;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0
0;0;0;0;0;5;3;2;1;0;0;0;2;0;0.3;0;1;5;20;60;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;40;5;0.5;10;0;5;0;0.5;0;0;0;2;3;25;1;5;0;0;0;0.1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0.1;0;0;0;0;0;0;0
0;0;0;0;0;10;0.5;2;3;15;0;0.5;0;0.5;0;0.5;0;2;10;30;5;10;0;0;0;2;0;0.1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;2;5;5;10;0;10;0;0.5;0;0;0.3;0;15;7;40;0.3;10;0;0;0;0;7;0;5;0.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0.3;40;5;1;0;60;20;0;0;0;0;0;1;20;20;0.3;5;0;0;0;0;7;0;0;0.3;0;0;5;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0.3;0.5;0;0;0;0;0;0;0;0;0;0
0;0;0;0.3;0;0.3;0;0.5;0;0;5;1;0;0;0.5;0.5;0;1;3;50;5;3;0;0;0;1;0;0;0;0;40;2;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0
0;0;0;0.5;0.5;0.5;50;3;0;1;0;0.5;0.5;0.5;1;0.5;0;0;7;40;0.5;7;0;0;0;0;0.5;0.5;1;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0.5;0;0;0;0;0;0;0.5;0;0
0;0;0;0;0;1;20;5;0.5;3;15;0;1;0;0.1;0;0;0.3;0;5;0;10;0;0;0;0;0;0;0;0;40;30;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0.3;60;5;2;10;1;0;1;0;0;0;0;5;2;20;0;1;0;0;0;0;15;0;0;0.3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0.5;40;1;5;10;5;1;1;0.5;0.5;0.5;0;1;1;7;0.5;5;0;0;0;0;10;0;0;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.5
0;0;0;0;0;0.5;60;1;0;1;5;1;0;1;1;0.5;0;0.5;0;3;0.5;7;0;0;0;0.1;3;1;0;2;5;2;0;0;0;0;0;0;0;0.1;7;0;0;0;0;0;0;0.5;10;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0.5;0;0;0.1;0
0;0;0;2;0;0.3;60;5;0;0;0;0;0;1;0.3;0;0;3;3;0.5;0.3;25;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0.5;0;0.5;85;0.5;0;0;2;0;0;1;0;0.1;0;1;10;0;0.5;15;0;0;0;0;0;0.1;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0;0;0.5;0;0.5;0;0;0;0;0;0.1;0.5;0;0;0;0;0;0;0
